DDI,sequence_num,auc,blAUC,diffAUC
DrsE_int_DsrH,13,0.948,0.976,-0.028
DrsE_int_DsrH,14,0.962,0.999,-0.037
DrsE_int_DsrH,15,0.911,0.925,-0.014
DrsE_int_DsrH,16,0.859,0.964,-0.105
DrsE_int_DsrH,17,0.986,0.991,-0.005
DrsE_int_DsrH,18,0.936,0.994,-0.058
DrsE_int_DsrH,19,0.963,0.975,-0.012
DrsE_int_DsrH,20,0.977,0.953,0.024
DrsE_int_DsrH,21,0.908,0.926,-0.018
DrsE_int_DsrH,22,0.878,0.986,-0.108
DrsE_int_DsrH,23,0.975,0.942,0.033
DrsE_int_DsrH,24,0.873,0.975,-0.102
DrsE_int_DsrH,25,0.917,0.987,-0.07
DrsE_int_DsrH,26,0.965,0.971,-0.006
DrsE_int_DsrH,27,0.955,0.973,-0.018
DrsE_int_DsrH,28,0.8,0.983,-0.183
E2_bind_int_ThiF,1,1,1,0
E2_bind_int_ThiF,2,1,1,0
E2_bind_int_ThiF,3,1,1,0
E2_bind_int_ThiF,4,1,1,0
E2_bind_int_ThiF,5,1,1,0
E2_bind_int_ThiF,6,1,1,0
E2_bind_int_ThiF,7,1,1,0
E2_bind_int_ThiF,8,1,0.926,0.074
E2_bind_int_ThiF,9,1,1,0
E2_bind_int_ThiF,10,1,1,0
E2_bind_int_ThiF,11,1,1,0
E2_bind_int_ThiF,12,0.992,0.967,0.025
E2_bind_int_ThiF,13,1,1,0
E2_bind_int_ThiF,14,1,1,0
E2_bind_int_ThiF,15,1,1,0
E2_bind_int_ThiF,16,1,1,0
E2_bind_int_ThiF,17,0.974,1,-0.026
E2_bind_int_ThiF,18,1,1,0
E2_bind_int_ThiF,19,1,1,0
E2_bind_int_ThiF,20,1,1,0
E2_bind_int_ThiF,21,1,0.973,0.027
E2_bind_int_ThiF,22,1,1,0
E2_bind_int_ThiF,23,1,1,0
E2_bind_int_ThiF,24,1,1,0
E2_bind_int_ThiF,25,0.996,1,-0.004
E2_bind_int_ThiF,26,1,1,0
EpoR_lig-bind_int_fn3,1,0.969,1,-0.031
EpoR_lig-bind_int_fn3,2,0.84,1,-0.16
EpoR_lig-bind_int_fn3,3,0.812,1,-0.188
EpoR_lig-bind_int_fn3,4,0.939,1,-0.061
EpoR_lig-bind_int_fn3,5,1,1,0
EpoR_lig-bind_int_fn3,6,0.944,1,-0.056
EpoR_lig-bind_int_fn3,7,1,1,0
EpoR_lig-bind_int_fn3,8,1,1,0
EpoR_lig-bind_int_fn3,9,0.8,0.8,0
EpoR_lig-bind_int_fn3,10,0.837,1,-0.163
EpoR_lig-bind_int_fn3,11,0.778,1,-0.222
EpoR_lig-bind_int_fn3,12,0.748,0.96,-0.212
EpoR_lig-bind_int_fn3,13,0.727,0.907,-0.18
EpoR_lig-bind_int_fn3,14,0.944,1,-0.056
EpoR_lig-bind_int_fn3,15,0.81,1,-0.19
EpoR_lig-bind_int_fn3,16,0.79,0.765,0.025
EpoR_lig-bind_int_fn3,17,1,1,0
EpoR_lig-bind_int_fn3,18,0.81,0.9,-0.09
EpoR_lig-bind_int_fn3,19,1,1,0
EpoR_lig-bind_int_fn3,20,0.98,1,-0.02
EpoR_lig-bind_int_fn3,21,0.91,1,-0.09
EpoR_lig-bind_int_fn3,22,0.864,1,-0.136
EpoR_lig-bind_int_fn3,23,1,1,0
EpoR_lig-bind_int_fn3,24,0.84,1,-0.16
EpoR_lig-bind_int_fn3,25,0.938,1,-0.062
EpoR_lig-bind_int_fn3,26,0.333,1,-0.667
EpoR_lig-bind_int_fn3,27,0.959,0.959,0
EpoR_lig-bind_int_fn3,28,0.984,1,-0.016
EpoR_lig-bind_int_fn3,29,0.875,1,-0.125
EpoR_lig-bind_int_fn3,30,0.736,1,-0.264
EpoR_lig-bind_int_fn3,31,0.75,1,-0.25
FGF_int_I-set,1,0.929,0.969,-0.04
FGF_int_I-set,2,0.959,0.972,-0.013
FGF_int_I-set,3,0.689,0.689,0
FGF_int_I-set,4,0.67,0.82,-0.15
FGF_int_I-set,5,1,1,0
FGF_int_I-set,6,0.989,0.991,-0.002
FGF_int_I-set,7,0.965,0.965,0
FGF_int_I-set,8,0.916,0.954,-0.038
FGF_int_I-set,9,0.997,0.945,0.052
FGF_int_I-set,10,0.975,0.97,0.005
FGF_int_I-set,11,0.976,0.941,0.035
FGF_int_I-set,12,0.948,0.975,-0.027
FGF_int_I-set,13,1,1,0
FGF_int_I-set,14,0.962,0.978,-0.016
FGF_int_I-set,15,1,0.998,0.002
FGF_int_I-set,16,0.978,1,-0.022
FGF_int_I-set,17,0.993,0.97,0.023
FGF_int_I-set,18,0.991,1,-0.009
FGF_int_I-set,19,1,0.985,0.015
FGF_int_I-set,20,0.97,1,-0.03
FGF_int_I-set,21,1,1,0
FGF_int_I-set,22,0.948,0.996,-0.048
FGF_int_I-set,23,1,1,0
FGF_int_I-set,24,0.94,0.972,-0.032
FGF_int_I-set,25,0.76,0.781,-0.021
FGF_int_I-set,26,0.914,0.901,0.013
FGF_int_I-set,27,1,0.993,0.007
FGF_int_I-set,28,0.943,0.979,-0.036
FGF_int_I-set,29,1,1,0
FGF_int_I-set,30,0.997,0.997,0
FGF_int_I-set,31,1,1,0
FGF_int_I-set,32,0.977,0.982,-0.005
FGF_int_I-set,33,0.995,1,-0.005
FGF_int_I-set,34,0.965,1,-0.035
FGF_int_I-set,35,1,1,0
FGF_int_I-set,36,0.968,1,-0.032
FGF_int_I-set,37,0.972,0.947,0.025
FGF_int_I-set,38,0.965,0.976,-0.011
FGF_int_I-set,39,0.245,0.592,-0.347
FGF_int_I-set,40,0.994,1,-0.006
FGF_int_I-set,41,0.979,0.968,0.011
FGF_int_I-set,42,1,0.998,0.002
FGF_int_I-set,43,0.982,0.995,-0.013
FGF_int_I-set,44,1,1,0
FGF_int_I-set,45,0.924,0.954,-0.03
FGF_int_I-set,46,0.988,0.948,0.04
FGF_int_I-set,47,0.751,0.897,-0.146
FGF_int_I-set,48,1,0.899,0.101
FGF_int_I-set,49,0.889,0.938,-0.049
FGF_int_I-set,50,0.946,0.979,-0.033
FGF_int_I-set,51,0.965,0.934,0.031
FGF_int_I-set,52,0.898,1,-0.102
FGF_int_I-set,53,0.924,0.967,-0.043
FGF_int_I-set,54,0.991,1,-0.009
FGF_int_I-set,55,0.97,0.998,-0.028
GFRP_int_GTP_cyclohydroI,1,1,1,0
GFRP_int_GTP_cyclohydroI,2,0.939,1,-0.061
GFRP_int_GTP_cyclohydroI,3,1,1,0
GFRP_int_GTP_cyclohydroI,4,1,1,0
GFRP_int_GTP_cyclohydroI,5,1,1,0
GFRP_int_GTP_cyclohydroI,6,1,1,0
GFRP_int_GTP_cyclohydroI,7,1,1,0
GFRP_int_GTP_cyclohydroI,8,1,1,0
GFRP_int_GTP_cyclohydroI,9,1,1,0
GFRP_int_GTP_cyclohydroI,10,1,1,0
GFRP_int_GTP_cyclohydroI,11,1,1,0
GFRP_int_GTP_cyclohydroI,12,1,1,0
GFRP_int_GTP_cyclohydroI,13,1,1,0
GFRP_int_GTP_cyclohydroI,14,1,1,0
GFRP_int_GTP_cyclohydroI,15,1,1,0
GFRP_int_GTP_cyclohydroI,16,1,1,0
GFRP_int_GTP_cyclohydroI,17,1,1,0
GFRP_int_GTP_cyclohydroI,18,1,1,0
GFRP_int_GTP_cyclohydroI,19,1,1,0
GFRP_int_GTP_cyclohydroI,20,0.939,1,-0.061
