DDI,sequence_num,auc,blAUC,diffAUC
PF00081.14_int_PF00081.14,0.944125,0.9635,-0.019375
PF00104.22_int_PF08832.2,0.92175,0.93125,-0.0095
PF00051.10_int_PF00051.10,0.88425,0.893625,-0.009375
PF00087.13_int_PF00087.13,0.8688,0.8777,-0.0089
PF00385.16_int_PF00385.16,0.929,0.935333333333,-0.00633333333333
PF00025.13_int_PF00025.13,0.915666666667,0.921555555556,-0.00588888888889
PF00032.9_int_PF02271.8,0.99625,1.0,-0.00375
PF00712.11_int_PF02768.7,0.995,0.997666666667,-0.00266666666667
PF00033.11_int_PF00355.18,0.998571428571,1.0,-0.00142857142857
PF00033.11_int_PF02939.8,1.0,1.0,0.0
PF00034.13_int_PF02239.8,1.0,1.0,0.0
PF00167.10_int_PF07679.8,0.93025,0.93,0.00025
PF00032.9_int_PF02939.8,0.98725,0.987,0.00025
PF00511.9_int_PF00511.9,0.977,0.973,0.004
PF00017.16_int_PF00018.20,0.929333333333,0.918222222222,0.0111111111111
PF00033.11_int_PF02271.8,1.0,0.986333333333,0.0136666666667
PF00004.21_int_PF09336.2,0.952666666667,0.931666666667,0.021
PF00149.20_int_PF08321.4,0.906,0.8845,0.0215
PF00127.12_int_PF06433.3,1.0,0.977,0.023
PF00782.12_int_PF00782.12,0.858125,0.744375,0.11375
PF00563.12_int_PF00563.12,0.54625,0.41425,0.132
PF00393.11_int_PF00393.11,0.8946,0.747,0.1476
PF00711.11_int_PF00711.11,0.809,0.5485,0.2605
