DDI	no.	FisherMode	method	isTest	accuracy	precision	recall
Alpha-amylase_int_CBM_48	28	FisherM1	SVM	False	0.461393597	0.5372807018	0.5320150659
Alpha-amylase_int_CBM_48	28	FisherM1	DL	False	0.6460807601	0.7705382436	0.7290930506
Alpha-amylase_int_CBM_48	28	FisherM1	DL	True	0.4680851064	0.6470588235	0.6063829787
Alpha-amylase_int_CBM_48	28	FisherM1	DL_U	False	0.7054631829	0.792	0.7620730271
Alpha-amylase_int_CBM_48	28	FisherM1	DL_U	True	0.6382978723	0.7142857143	0.6914893617
Alpha-amylase_int_CBM_48	29	FisherM1	SVM	True	0.6888888889	0.5166666667	0.5222222222
Alpha-amylase_int_CBM_48	29	FisherM1	SVM	False	0.4781420765	0.5591054313	0.5505464481
Alpha-amylase_int_CBM_48	29	FisherM1	DL	False	0.887755102	0.6590909091	0.7128205128
Alpha-amylase_int_CBM_48	29	FisherM1	DL	True	0.8222222222	0.6271186441	0.6666666667
Alpha-amylase_int_CBM_48	29	FisherM1	DL_U	False	0.887755102	0.6541353383	0.7076923077
Alpha-amylase_int_CBM_48	29	FisherM1	DL_U	True	0.7777777778	0.6363636364	0.6666666667
Alpha-amylase_int_CBM_48	30	FisherM1	SVM	True	0.5869565217	0.5192307692	0.5217391304
Alpha-amylase_int_CBM_48	30	FisherM1	SVM	False	0.5135869565	0.596214511	0.5828804348
Alpha-amylase_int_CBM_48	30	FisherM1	DL	False	0.6266666667	0.8103448276	0.7346938776
Alpha-amylase_int_CBM_48	30	FisherM1	DL	True	0.6739130435	0.62	0.6304347826
Alpha-amylase_int_CBM_48	30	FisherM1	DL_U	False	0.79	0.7745098039	0.7755102041
Alpha-amylase_int_CBM_48	30	FisherM1	DL_U	True	0.8260869565	0.6909090909	0.7282608696
Alpha-amylase_int_CBM_48	31	FisherM1	SVM	True	0.5111111111	0.5227272727	0.5222222222
Alpha-amylase_int_CBM_48	31	FisherM1	SVM	False	0.5460526316	0.5608108108	0.5592105263
Alpha-amylase_int_CBM_48	31	FisherM1	DL	False	0.6991643454	0.6933701657	0.6995884774
Alpha-amylase_int_CBM_48	31	FisherM1	DL	True	0.6444444444	0.5471698113	0.5555555556
Alpha-amylase_int_CBM_48	31	FisherM1	DL_U	False	0.7688022284	0.7058823529	0.7283950617
Alpha-amylase_int_CBM_48	31	FisherM1	DL_U	True	0.7777777778	0.6034482759	0.6333333333
Alpha-amylase_int_CBM_48	32	FisherM1	SVM	True	0.5	0.4761904762	0.475
Alpha-amylase_int_CBM_48	32	FisherM1	SVM	False	0.4426605505	0.5710059172	0.5550458716
Alpha-amylase_int_CBM_48	32	FisherM1	DL	False	0.9130434783	0.6312625251	0.6929698709
Alpha-amylase_int_CBM_48	32	FisherM1	DL	True	0.6	0.5901639344	0.5916666667
Alpha-amylase_int_CBM_48	32	FisherM1	DL_U	False	0.7304347826	0.65625	0.6771879484
Alpha-amylase_int_CBM_48	32	FisherM1	DL_U	True	0.3833333333	0.5348837209	0.525
Alpha-amylase_int_CBM_48	33	FisherM1	SVM	True	0.4666666667	0.4666666667	0.4666666667
Alpha-amylase_int_CBM_48	33	FisherM1	SVM	False	0.5185185185	0.625	0.6037037037
Alpha-amylase_int_CBM_48	33	FisherM1	DL	False	0.7210031348	0.7849829352	0.7654320988
Alpha-amylase_int_CBM_48	33	FisherM1	DL	True	0.8833333333	0.5824175824	0.625
Alpha-amylase_int_CBM_48	33	FisherM1	DL_U	False	0.6300940439	0.8481012658	0.762345679
Alpha-amylase_int_CBM_48	33	FisherM1	DL_U	True	0.6833333333	0.5616438356	0.575
Alpha-amylase_int_CBM_48	34	FisherM1	SVM	True	0.4754098361	0.4915254237	0.4918032787
Alpha-amylase_int_CBM_48	34	FisherM1	SVM	False	0.440545809	0.5485436893	0.5389863548
Alpha-amylase_int_CBM_48	34	FisherM1	DL	False	0.4492385787	0.9267015707	0.7182926829
Alpha-amylase_int_CBM_48	34	FisherM1	DL	True	0.3770491803	0.7419354839	0.6229508197
Alpha-amylase_int_CBM_48	34	FisherM1	DL_U	False	0.6370558376	0.8625429553	0.7768292683
Alpha-amylase_int_CBM_48	34	FisherM1	DL_U	True	0.4754098361	0.6744186047	0.6229508197
Alpha-amylase_int_CBM_48	35	FisherM1	SVM	True	0	0	0.5
Alpha-amylase_int_CBM_48	35	FisherM1	SVM	False	0.4205378973	0.5733333333	0.5537897311
Alpha-amylase_int_CBM_48	35	FisherM1	DL	False	0.9279279279	0.6821192053	0.7431192661
Alpha-amylase_int_CBM_48	35	FisherM1	DL	True	0	0	0.5
Alpha-amylase_int_CBM_48	35	FisherM1	DL_U	False	0.9129129129	0.7004608295	0.7568807339
Alpha-amylase_int_CBM_48	35	FisherM1	DL_U	True	0.6666666667	0.5	0.5
Alpha-amylase_int_CBM_48	36	FisherM1	SVM	True	0.3278688525	0.4545454545	0.4672131148
Alpha-amylase_int_CBM_48	36	FisherM1	SVM	False	0.5218508997	0.5867052023	0.5771208226
Alpha-amylase_int_CBM_48	36	FisherM1	DL	False	0.7614379085	0.6472222222	0.6784565916
Alpha-amylase_int_CBM_48	36	FisherM1	DL	True	0.5573770492	0.4657534247	0.4590163934
Alpha-amylase_int_CBM_48	36	FisherM1	DL_U	False	0.7189542484	0.6413994169	0.6639871383
Alpha-amylase_int_CBM_48	36	FisherM1	DL_U	True	0.4918032787	0.4615384615	0.4590163934
Alpha-amylase_int_CBM_48	37	FisherM1	SVM	True	0.5161290323	0.5333333333	0.5322580645
Alpha-amylase_int_CBM_48	37	FisherM1	SVM	False	0.5188172043	0.5920245399	0.5806451613
Alpha-amylase_int_CBM_48	37	FisherM1	DL	False	0.66	0.8016194332	0.7462184874
Alpha-amylase_int_CBM_48	37	FisherM1	DL	True	0.4838709677	0.4838709677	0.4838709677
Alpha-amylase_int_CBM_48	37	FisherM1	DL_U	False	0.6333333333	0.8085106383	0.7394957983
Alpha-amylase_int_CBM_48	37	FisherM1	DL_U	True	0.5483870968	0.5074626866	0.5080645161
Alpha-amylase_int_CBM_48	38	FisherM1	SVM	True	0.5079365079	0.4705882353	0.4682539683
Alpha-amylase_int_CBM_48	38	FisherM1	SVM	False	0.5362318841	0.5736434109	0.5688405797
