DDI,sequence_num,auc,blAUC,diffAUC
Desulfoferrod_N_int_Desulfoferrodox,29,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,30,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,31,0.98,1,-0.02
Desulfoferrod_N_int_Desulfoferrodox,32,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,33,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,34,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,35,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,36,1,1,0
Desulfoferrod_N_int_Desulfoferrodox,37,1,1,0
DrsE_int_DsrH,1,0.973,0.936,0.037
DrsE_int_DsrH,2,0.864,0.946,-0.082
DrsE_int_DsrH,3,0.972,0.977,-0.005
DrsE_int_DsrH,4,0.944,0.988,-0.044
DrsE_int_DsrH,5,0.923,0.918,0.005
DrsE_int_DsrH,6,0.98,0.99,-0.01
DrsE_int_DsrH,7,0.945,0.928,0.017
DrsE_int_DsrH,8,0.904,0.955,-0.051
DrsE_int_DsrH,9,1,0.971,0.029
DrsE_int_DsrH,10,0.927,1,-0.073
DrsE_int_DsrH,11,0.95,0.913,0.037
DrsE_int_DsrH,12,0.986,1,-0.014
DrsE_int_DsrH,13,0.976,0.991,-0.015
DrsE_int_DsrH,14,0.999,0.988,0.011
DrsE_int_DsrH,15,0.925,0.975,-0.05
DrsE_int_DsrH,16,0.964,0.895,0.069
DrsE_int_DsrH,17,0.991,0.97,0.021
DrsE_int_DsrH,18,0.994,0.895,0.099
DrsE_int_DsrH,19,0.975,0.983,-0.008
DrsE_int_DsrH,20,0.953,0.991,-0.038
DrsE_int_DsrH,21,0.926,0.989,-0.063
DrsE_int_DsrH,22,0.986,1,-0.014
DrsE_int_DsrH,23,0.942,0.977,-0.035
DrsE_int_DsrH,24,0.975,0.99,-0.015
DrsE_int_DsrH,25,0.987,0.967,0.02
DrsE_int_DsrH,26,0.971,0.989,-0.018
DrsE_int_DsrH,27,0.973,0.98,-0.007
DrsE_int_DsrH,28,0.983,0.885,0.098
E2_bind_int_ThiF,1,1,1,0
