DDI,sequence_num,auc,blAUC,diffAUC
PF00149.20_int_PF08321.4,0.8345,0.8635,-0.029
PF00034.13_int_PF00141.15,0.98,1.0,-0.02
PF00393.11_int_PF00393.11,0.8682,0.8816,-0.0134
PF00081.14_int_PF00081.14,0.950125,0.960875,-0.01075
PF00104.22_int_PF08832.2,0.936,0.94525,-0.00925
PF00025.13_int_PF00025.13,0.888777777778,0.896111111111,-0.00733333333333
PF00032.9_int_PF02939.8,0.9865,0.99375,-0.00725
PF00033.11_int_PF02271.8,1.0,1.0,0.0
PF00033.11_int_PF02939.8,1.0,1.0,0.0
PF00034.13_int_PF02239.8,1.0,1.0,0.0
PF00127.12_int_PF06433.3,0.981333333333,0.981333333333,0.0
PF00004.21_int_PF09336.2,0.885,0.884333333333,0.000666666666667
PF00032.9_int_PF02271.8,1.0,0.9985,0.0015
PF00712.11_int_PF02768.7,0.998,0.995,0.003
PF00033.11_int_PF00355.18,1.0,0.995285714286,0.00471428571429
PF00033.11_int_PF00033.11,0.983333333333,0.973166666667,0.0101666666667
PF00243.10_int_PF00243.10,0.874714285714,0.864285714286,0.0104285714286
PF00782.12_int_PF00782.12,0.745375,0.72175,0.023625
PF00511.9_int_PF00511.9,0.979833333333,0.954333333333,0.0255
PF00385.16_int_PF00385.16,0.846,0.813833333333,0.0321666666667
PF00167.10_int_PF07679.8,0.9155,0.873375,0.042125
PF00087.13_int_PF00087.13,0.8442,0.7992,0.045
PF00617.11_int_PF00618.12,0.9785,0.92,0.0585
PF00017.16_int_PF00018.20,0.861333333333,0.780444444444,0.0808888888889
PF00074.12_int_PF07686.9,0.803666666667,0.719,0.0846666666667
PF00051.10_int_PF00051.10,0.8065,0.699625,0.106875
PF00711.11_int_PF00711.11,0.611,0.38,0.231
