DDI,no.,FisherMode,method,isTest,recall,precision,accuracy
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_old,False,0.77215189873417722,0.97599999999999998,0.84523809523809523
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_old,True,0.80000000000000004,1.0,0.875
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S,False,1.0,0.99371069182389937,0.99603174603174605
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new,False,0.98101265822784811,1.0,0.98809523809523814
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new_contraction,False,0.77215189873417722,0.97599999999999998,0.84523809523809523
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new_contraction,True,0.80000000000000004,1.0,0.875
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new_sparsity,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new_sparsity,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,l2_reg,False,1.0,0.62698412698412698,0.62698412698412698
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,l2_reg,True,1.0,0.625,0.625
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new_Drop_out,False,0.98101265822784811,1.0,0.98809523809523814
Alpha-amylase_C_int_TIG,8,FisherM1ONLY,DL_S_new_Drop_out,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,SVM_RBF,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,SVM_RBF,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_xy,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_xy,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,Sda_xy_with_first,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,Sda_xy_with_first,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,Sda_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,Sda_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,SAE_SVM,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,SAE_SVM,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL,False,0.98124999999999996,1.0,0.98799999999999999
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_old,False,0.97499999999999998,0.84782608695652173,0.872
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_old,True,1.0,0.8125,0.8571428571428571
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S,False,0.97499999999999998,0.99363057324840764,0.97999999999999998
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S_new,False,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S_new,True,1.0,1.0,1.0
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S_new_contraction,False,0.76249999999999996,0.9838709677419355,0.83999999999999997
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S_new_contraction,True,0.80769230769230771,1.0,0.88095238095238093
Alpha-amylase_C_int_TIG,9,FisherM1ONLY,DL_S_new_sparsity,False,1.0,1.0,1.0
