DDI,sequence_num,auc,blAUC,diffAUC,
PF00243.10_int_PF00243.10,0.843428571,0.877714286,-0.034285714,,
PF00074.12_int_PF07686.9,0.898333333,0.930666667,-0.032333333,,
PF00782.12_int_PF00782.12,0.858125,0.885875,-0.02775,,
PF00033.11_int_PF00033.11,0.966,0.990833333,-0.024833333,,
PF00025.13_int_PF00025.13,0.915666667,0.934777778,-0.019111111,,
PF00104.22_int_PF08832.2,0.92175,0.93925,-0.0175,,
PF00617.11_int_PF00618.12,0.969,0.984,-0.015,,
PF00051.10_int_PF00051.10,0.88425,0.8975,-0.01325,,
PF00385.16_int_PF00385.16,0.929,0.941,-0.012,,
PF00081.14_int_PF00081.14,0.944125,0.954875,-0.01075,,
PF00712.11_int_PF02768.7,0.995,0.999,-0.004,,
PF00032.9_int_PF02271.8,0.99625,1,-0.00375,,
PF00032.9_int_PF02939.8,0.98725,0.9895,-0.00225,,
PF00033.11_int_PF02939.8,1,1,0,,
PF00034.13_int_PF02239.8,1,1,0,,
PF00087.13_int_PF00087.13,0.8688,0.867,0.0018,,
PF00511.9_int_PF00511.9,0.977,0.974666667,0.002333333,,
PF00033.11_int_PF02271.8,1,0.993333333,0.006666667,,
PF00033.11_int_PF00355.18,0.998571429,0.991142857,0.007428571,,
PF00028.9_int_PF00028.9,0.836125,0.82825,0.007875,,
PF00167.10_int_PF07679.8,0.93025,0.912,0.01825,,
PF00017.16_int_PF00018.20,0.929333333,0.910666667,0.018666667,,
PF00393.11_int_PF00393.11,0.8946,0.871,0.0236,,
PF00127.12_int_PF06433.3,1,0.963,0.037,,
PF00004.21_int_PF09336.2,0.952666667,0.897666667,0.055,,
PF00149.20_int_PF08321.4,0.906,0.836,0.07,,
PF00563.12_int_PF00563.12,0.54625,0.3835,0.16275,,
PF00711.11_int_PF00711.11,0.809,0.2665,0.5425,,
,0.913298056,0.894746164,0.018551892,,
