DDI,no.,FisherMode,method,isTest,accuracy,precision,recall
AICARFT_IMPCHas_int_MGS,24,FisherM1,DL_U,True,0.95890410958904104,0.85365853658536583,0.89726027397260277
AICARFT_IMPCHas_int_MGS,25,FisherM1,SVM,True,0.56944444444444442,0.51249999999999996,0.51388888888888884
AICARFT_IMPCHas_int_MGS,25,FisherM1,SVM,False,0.57790368271954673,0.56043956043956045,0.56232294617563738
AICARFT_IMPCHas_int_MGS,25,FisherM1,DL,False,0.86619718309859151,0.88172043010752688,0.87411347517730498
AICARFT_IMPCHas_int_MGS,25,FisherM1,DL,True,0.80555555555555558,0.80555555555555558,0.80555555555555558
AICARFT_IMPCHas_int_MGS,25,FisherM1,DL_U,False,0.84859154929577463,0.90262172284644193,0.87765957446808507
AICARFT_IMPCHas_int_MGS,25,FisherM1,DL_U,True,0.80555555555555558,0.77333333333333332,0.78472222222222221
AICARFT_IMPCHas_int_MGS,26,FisherM1,SVM,True,0.83333333333333337,0.83333333333333337,0.83333333333333337
AICARFT_IMPCHas_int_MGS,26,FisherM1,SVM,False,0.6484210526315789,0.5855513307984791,0.59388185654008441
AICARFT_IMPCHas_int_MGS,26,FisherM1,DL,False,0.88082901554404147,0.8877284595300261,0.88258575197889177
AICARFT_IMPCHas_int_MGS,26,FisherM1,DL,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,26,FisherM1,DL_U,False,0.9015544041450777,0.88775510204081642,0.89182058047493407
AICARFT_IMPCHas_int_MGS,26,FisherM1,DL_U,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,27,FisherM1,SVM,True,0.7142857142857143,0.7142857142857143,0.7142857142857143
AICARFT_IMPCHas_int_MGS,27,FisherM1,SVM,False,0.59162303664921467,0.58247422680412375,0.58376963350785338
AICARFT_IMPCHas_int_MGS,27,FisherM1,DL,False,0.98512396694214877,0.80758807588075876,0.87643207855973815
AICARFT_IMPCHas_int_MGS,27,FisherM1,DL,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,27,FisherM1,DL_U,False,0.98842975206611572,0.91858678955453144,0.95090016366612107
AICARFT_IMPCHas_int_MGS,27,FisherM1,DL_U,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,28,FisherM1,SVM,True,0.61643835616438358,0.49450549450549453,0.49315068493150682
AICARFT_IMPCHas_int_MGS,28,FisherM1,SVM,False,0.625,0.56034482758620685,0.56730769230769229
AICARFT_IMPCHas_int_MGS,28,FisherM1,DL,False,0.88988095238095233,0.93437499999999996,0.91278195488721803
AICARFT_IMPCHas_int_MGS,28,FisherM1,DL,True,0.72602739726027399,0.70666666666666667,0.71232876712328763
AICARFT_IMPCHas_int_MGS,28,FisherM1,DL_U,False,0.8839285714285714,0.93103448275862077,0.90827067669172934
AICARFT_IMPCHas_int_MGS,28,FisherM1,DL_U,True,0.75342465753424659,0.7142857142857143,0.72602739726027399
AICARFT_IMPCHas_int_MGS,29,FisherM1,SVM,True,0.51351351351351349,0.50666666666666671,0.5067567567567568
AICARFT_IMPCHas_int_MGS,29,FisherM1,SVM,False,0.57328385899814471,0.544973544973545,0.54730983302411873
AICARFT_IMPCHas_int_MGS,29,FisherM1,DL,False,0.85882352941176465,0.88164251207729472,0.87354988399071931
AICARFT_IMPCHas_int_MGS,29,FisherM1,DL,True,0.8783783783783784,0.82278481012658233,0.84459459459459463
AICARFT_IMPCHas_int_MGS,29,FisherM1,DL_U,False,0.83058823529411763,0.73541666666666672,0.76914153132250584
AICARFT_IMPCHas_int_MGS,29,FisherM1,DL_U,True,0.79729729729729726,0.69411764705882351,0.72297297297297303
AICARFT_IMPCHas_int_MGS,30,FisherM1,SVM,True,0.66666666666666663,1.0,0.83333333333333337
AICARFT_IMPCHas_int_MGS,30,FisherM1,SVM,False,0.57821229050279332,0.57983193277310929,0.57843137254901966
AICARFT_IMPCHas_int_MGS,30,FisherM1,DL,False,0.96113074204946991,0.88888888888888884,0.92119089316987746
AICARFT_IMPCHas_int_MGS,30,FisherM1,DL,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,30,FisherM1,DL_U,False,0.93992932862190814,0.90169491525423728,0.91943957968476353
AICARFT_IMPCHas_int_MGS,30,FisherM1,DL_U,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,31,FisherM1,SVM,True,0.5714285714285714,0.5,0.5
AICARFT_IMPCHas_int_MGS,31,FisherM1,SVM,False,0.60162601626016265,0.54652880354505173,0.551219512195122
AICARFT_IMPCHas_int_MGS,31,FisherM1,DL,False,0.97983870967741937,0.91698113207547172,0.94512195121951215
AICARFT_IMPCHas_int_MGS,31,FisherM1,DL,True,0.8571428571428571,1.0,0.9285714285714286
AICARFT_IMPCHas_int_MGS,31,FisherM1,DL_U,False,0.98991935483870963,0.93881453154875716,0.96239837398373984
AICARFT_IMPCHas_int_MGS,31,FisherM1,DL_U,True,1.0,1.0,1.0
AICARFT_IMPCHas_int_MGS,32,FisherM1,SVM,True,0.58904109589041098,0.54430379746835444,0.54794520547945202
AICARFT_IMPCHas_int_MGS,32,FisherM1,SVM,False,0.62189054726368154,0.5580357142857143,0.56413449564134499
AICARFT_IMPCHas_int_MGS,32,FisherM1,DL,False,0.96573208722741433,0.90116279069767435,0.92990654205607481
AICARFT_IMPCHas_int_MGS,32,FisherM1,DL,True,0.9726027397260274,0.82558139534883723,0.88356164383561642
AICARFT_IMPCHas_int_MGS,32,FisherM1,DL_U,False,0.98286604361370722,0.90142857142857147,0.93769470404984423
AICARFT_IMPCHas_int_MGS,32,FisherM1,DL_U,True,0.98630136986301364,0.82758620689655171,0.8904109589041096
AICARFT_IMPCHas_int_MGS,33,FisherM1,SVM,True,0.55555555555555558,0.46511627906976749,0.45833333333333331
AICARFT_IMPCHas_int_MGS,33,FisherM1,SVM,False,0.57757009345794397,0.57011070110701112,0.57102803738317753
