DDI,sequence_num,auc,blAUC,diffAUC
PF00028.9_int_PF00028.9,0.836125,0.841375,-0.00525
PF00167.10_int_PF07679.8,0.93025,0.934125,-0.003875
PF00385.16_int_PF00385.16,0.929,0.931,-0.002
PF00033.11_int_PF00355.18,0.998571428571,1.0,-0.00142857142857
PF00033.11_int_PF02939.8,1.0,1.0,0.0
PF00127.12_int_PF06433.3,1.0,1.0,0.0
PF00032.9_int_PF02271.8,0.99625,0.99525,0.001
PF00032.9_int_PF02939.8,0.98725,0.986,0.00125
PF00712.11_int_PF02768.7,0.995,0.993333333333,0.00166666666667
PF00034.13_int_PF02239.8,1.0,0.998,0.002
PF00004.21_int_PF09336.2,0.952666666667,0.949333333333,0.00333333333333
PF00511.9_int_PF00511.9,0.977,0.967833333333,0.00916666666667
PF00033.11_int_PF02271.8,1.0,0.986333333333,0.0136666666667
PF00017.16_int_PF00018.20,0.929333333333,0.899111111111,0.0302222222222
PF00149.20_int_PF08321.4,0.906,0.872,0.034
PF00782.12_int_PF00782.12,0.858125,0.82175,0.036375
PF00087.13_int_PF00087.13,0.8688,0.829,0.0398
PF00711.11_int_PF00711.11,0.809,0.7435,0.0655
PF00563.12_int_PF00563.12,0.54625,0.47375,0.0725
PF00393.11_int_PF00393.11,0.8946,0.8022,0.0924
