no.,method,isTest,recall,precision,accuracy
14,SVM_POLY,True,0.65267807840971837,0.87685459940652821,0.77977839335180055
14,SVM_POLY,False,0.82860601867865791,0.98236620873487801,0.90673709733287144
14,Log,True,0.57371617890668136,0.54369440083725795,0.54459833795013846
14,Log,False,0.68644067796610164,0.65886454183266929,0.66505022514721168
14,DL,True,0.82716731087796802,0.84157303370786518,0.83518005540166207
14,DL,False,0.99948114839155999,0.99982698961937722,0.99965361967440247
14,SAE_SVM,True,0.6322473771397018,0.62534134352812676,0.62548476454293633
14,SAE_SVM,False,0.65496368038740915,0.64175563463819696,0.6441808105299619
14,SAE_SVM_RBF,True,0.72943125345113202,0.70869098712446355,0.71385041551246542
14,SAE_SVM_RBF,False,0.74074714631615357,0.72790618626784498,0.73155524766193281
14,SAE_SVM_POLY,True,0.70623964660408611,0.65421994884910484,0.66537396121883652
14,SAE_SVM_POLY,False,0.71809062608094087,0.6683837733419189,0.68046414963630064
14,DL_S,True,0.81943677526228598,0.869361452841242,0.8476454293628809
14,DL_S,False,0.8995157384987893,0.94169835234474031,0.92180464149636299
14,SAE_S_SVM,True,0.62948647156267257,0.55609756097560981,0.5620498614958449
14,SAE_S_SVM,False,0.6556554825319959,0.57526555386949929,0.58520956009698644
14,SAE_S_SVM_RBF,True,0.78078409718387631,0.67141500474833804,0.69833795013850419
14,SAE_S_SVM_RBF,False,0.79488066413005876,0.69216867469879517,0.72029788708001385
14,SAE_S_SVM_POLY,True,0.71065709552733292,0.64221556886227549,0.65623268698060944
14,SAE_S_SVM_POLY,False,0.71912832929782078,0.65801550878303527,0.67223761690335992
15,SVM,True,0.56180400890868598,0.55592286501377408,0.55823627287853572
15,SVM,False,0.61854601968571921,0.61430286400274392,0.61365802929196633
15,SVM_RBF,True,0.93318485523385297,0.58013153340256141,0.63033832501386577
15,SVM_RBF,False,1.0,1.0,1.0
15,SVM_POLY,True,0.59910913140311806,0.89517470881863548,0.76539101497504158
15,SVM_POLY,False,0.76100846140562939,0.98922558922558923,0.87589912470751363
15,Log,True,0.56848552338530067,0.54107048224695287,0.54492512479201327
15,Log,False,0.69055430840960108,0.66483790523690778,0.66998873385908653
15,DL,True,0.86692650334075727,0.83084311632870878,0.84581253466444817
15,DL,False,0.99948195475738211,0.99965457685664938,0.99956668688794525
15,SAE_SVM,True,0.6664810690423163,0.63670212765957446,0.64448141985579588
15,SAE_SVM,False,0.66257986530823687,0.64196084992471136,0.64520322384955364
15,SAE_SVM_RBF,True,0.75055679287305122,0.72864864864864864,0.73655019412090961
15,SAE_SVM_RBF,False,0.74494905888447593,0.72687447346251044,0.73151919577086399
15,SAE_SVM_POLY,True,0.6876391982182628,0.67046688382193265,0.6760953965612867
15,SAE_SVM_POLY,False,0.69521671559316178,0.67949367088607593,0.68246815148626394
15,DL_S,True,0.78396436525612467,0.88386691776522286,0.84109816971713813
15,DL_S,False,0.87221550682092908,0.95789872937606679,0.91663055724066211
15,SAE_S_SVM,True,0.60634743875278396,0.55504587155963303,0.56184137548530222
15,SAE_S_SVM,False,0.65739941288205839,0.58228816151728358,0.59138573533235117
15,SAE_S_SVM_RBF,True,0.7811804008908686,0.67974806201550386,0.70770937326677763
15,SAE_S_SVM_RBF,False,0.79848040062165426,0.68901803009983609,0.71799982667475515
15,SAE_S_SVM_POLY,True,0.70211581291759462,0.65540540540540537,0.66777592900721017
15,SAE_S_SVM_POLY,False,0.71248489034709028,0.65952685421994883,0.67111534795042893
16,SVM,True,0.50690989496959649,0.5400471142520612,0.53110986547085204
16,SVM,False,0.60519801980198018,0.6128916741271262,0.61494655685999644
16,SVM_RBF,True,0.27805417357656165,0.94371482176360222,0.62556053811659196
16,SVM_RBF,False,1.0,1.0,1.0
16,SVM_POLY,True,0.62520729684908793,0.89976133651551315,0.7746636771300448
16,SVM_POLY,False,0.77439886845827444,0.98849018280297896,0.88373926756614685
16,Log,True,0.55389718076285244,0.54486133768352363,0.53923766816143492
16,Log,False,0.67910183875530405,0.65838189921151868,0.66637462765025413
16,DL,True,0.86456605859590929,0.84999999999999998,0.85397982062780264
16,DL,False,0.99964639321074966,0.99982316534040683,0.99973716488522868
16,SAE_SVM,True,0.64123825317855165,0.63284233496999454,0.62948430493273544
16,SAE_SVM,False,0.6446251768033946,0.64473916887709992,0.64788855791133693
16,SAE_SVM_RBF,True,0.73023770038695412,0.73145071982281284,0.72729820627802688
16,SAE_SVM_RBF,False,0.71534653465346532,0.74102564102564106,0.73506220431049585
16,SAE_SVM_POLY,True,0.67385295743504703,0.69300739056281979,0.68329596412556048
16,SAE_SVM_POLY,False,0.65328854314002827,0.6952022577610536,0.68626248466795159
16,DL_S,True,0.90270867882808181,0.81405782652043868,0.84613228699551568
16,DL_S,False,0.97118104667609617,0.87551801083838066,0.91729455055195375
16,SAE_S_SVM,True,0.60972913211719182,0.56680369989722512,0.56586322869955152
16,SAE_S_SVM,False,0.62535360678925034,0.56910699919549479,0.57972665148063784
16,SAE_S_SVM_RBF,True,0.76285240464344939,0.67913385826771655,0.69702914798206284
16,SAE_S_SVM_RBF,False,0.76732673267326734,0.68747029938222715,0.71184510250569477
16,SAE_S_SVM_POLY,True,0.6655610834715312,0.66008771929824561,0.656670403587444
16,SAE_S_SVM_POLY,False,0.65470297029702973,0.65656028368794328,0.65919046784650426
17,SVM,True,0.56557830658550079,0.54361702127659572,0.5488742449203734
17,SVM,False,0.62911759685953239,0.60287863918874718,0.6051321661517336
17,SVM_RBF,True,0.95185390149418925,0.57010275107722908,0.61998901702361342
17,SVM_RBF,False,1.0,1.0,1.0
17,SVM_POLY,True,0.67957941339236305,0.86845827439886847,0.78995057660626034
17,SVM_POLY,False,0.84092848608977644,0.98382587859424919,0.91306213525575008
17,Log,True,0.56336469286109569,0.54264392324093813,0.5477759472817133
17,Log,False,0.69056152927120673,0.66393173613390222,0.66864057672502575
17,DL,True,0.83397897066961812,0.82080610021786493,0.8272926963207029
17,DL,False,1.0,0.99982935153583619,0.99991417782354963
17,SAE_SVM,True,0.66242390702822362,0.6198860693940963,0.63097199341021415
17,SAE_SVM,False,0.65932753029527225,0.64105542648523062,0.64306556814280813
17,SAE_SVM_RBF,True,0.73381294964028776,0.70833333333333337,0.71801208127402527
17,SAE_SVM_RBF,False,0.73954599761051376,0.73440677966101697,0.73455200823892897
17,SAE_SVM_POLY,True,0.71499723298284446,0.6598569969356487,0.67572762218561233
17,SAE_SVM_POLY,False,0.72316094896740057,0.67478897913680524,0.68554754548575347
17,DL_S,True,0.92307692307692313,0.75406871609403259,0.8124656781987919
17,DL_S,False,0.98583376002730838,0.82244055247045422,0.88585650532097493
17,SAE_S_SVM,True,0.6242390702822358,0.56147336983573914,0.57166392092257001
17,SAE_S_SVM,False,0.66120498378562897,0.57985331537195028,0.58874013044970819
17,SAE_S_SVM_RBF,True,0.77255118981737692,0.66730401529636718,0.6960461285008237
17,SAE_S_SVM_RBF,False,0.79194401775046941,0.68466873247749738,0.7119807758324751
17,SAE_S_SVM_POLY,True,0.70558937465412286,0.63718140929535227,0.65458539264140581
17,SAE_S_SVM_POLY,False,0.72043010752688175,0.64938461538461534,0.66383453484380361
18,SVM,True,0.53956043956043953,0.53398586188145736,0.53086078051480767
18,SVM,False,0.61813090654532732,0.60252473558512454,0.60968858131487891
18,SVM_RBF,True,0.23131868131868133,0.95248868778280538,0.60697481317464708
18,SVM_RBF,False,1.0,1.0,1.0
18,SVM_POLY,True,0.57637362637362632,0.90042918454935628,0.75449764738444502
18,SVM_POLY,False,0.74763738186909345,0.98728911486018023,0.87050173010380627
18,Log,True,0.57692307692307687,0.55673382820784734,0.55549404926653745
18,Log,False,0.68830941547077351,0.66503212715590121,0.67456747404844286
18,DL,True,0.83241758241758246,0.84354120267260568,0.83780791585939662
18,DL,False,0.99982499124956248,0.99947515745276416,0.99965397923875432
18,SAE_SVM,True,0.61538461538461542,0.62956717256885886,0.62385828951010236
18,SAE_SVM,False,0.64158207910395515,0.64496833216045035,0.64826989619377162
18,SAE_SVM_RBF,True,0.67142857142857137,0.73217495506291197,0.71076667589261
18,SAE_SVM_RBF,False,0.70703535176758836,0.74292019124678188,0.73425605536332184
18,SAE_SVM_POLY,True,0.58791208791208793,0.69076823757262751,0.65983946858566289
18,SAE_SVM_POLY,False,0.63108155407770383,0.69252928749759934,0.67915224913494809
18,DL_S,True,0.87197802197802199,0.8441489361702128,0.85441461389427065
18,DL_S,False,0.94014700735036749,0.91360544217687079,0.92647058823529416
18,SAE_S_SVM,True,0.60494505494505491,0.56230847803881512,0.56379739828397457
18,SAE_S_SVM,False,0.6316065803290164,0.5706831119544592,0.58304498269896199
18,SAE_S_SVM_RBF,True,0.69285714285714284,0.70016657412548589,0.69582064766122331
18,SAE_S_SVM_RBF,False,0.71473573678683933,0.69895601574533628,0.70683391003460205
18,SAE_S_SVM_POLY,True,0.62252747252747254,0.66686286050618016,0.65319678937171322
18,SAE_S_SVM_POLY,False,0.64665733286664329,0.66986947063089197,0.66782006920415227
19,SVM,True,0.51464208242950105,0.53314606741573034,0.52634467618002201
19,SVM,False,0.5998963909514764,0.60702428796085972,0.60830402333361933
19,SVM_RBF,True,0.31019522776572667,0.91961414790996787,0.63721185510428102
19,SVM_RBF,False,1.0,1.0,1.0
19,SVM_POLY,True,0.6231019522776573,0.90117647058823525,0.77469813391877063
19,SVM_POLY,False,0.77793127266447937,0.98685651697699894,0.88453289868748397
19,Log,True,0.54718004338394799,0.55227148330596609,0.54637760702524696
19,Log,False,0.67691245035399761,0.6588235294117647,0.66535129106974356
19,DL,True,0.83297180043383945,0.84815019326339036,0.84001097694840832
19,DL,False,0.99965463650492148,0.9998272884283248,0.99974264390494982
19,SAE_SVM,True,0.65672451193058567,0.64074074074074083,0.63995609220636662
19,SAE_SVM,False,0.64479364531169059,0.63676671214188263,0.64081667667495923
19,SAE_SVM_RBF,True,0.70607375271149675,0.73434856175972929,0.72200878155872672
19,SAE_SVM_RBF,False,0.71783802452080814,0.74152693542632897,0.73552371965342711
19,SAE_SVM_POLY,True,0.6719088937093276,0.69763513513513509,0.68660812294182216
19,SAE_SVM_POLY,False,0.66845104472457262,0.69509786317112587,0.68962854936947759
19,DL_S,True,0.82483731019522777,0.8588368153585545,0.84275521405049392
19,DL_S,False,0.91434985322051454,0.92927342927342915,0.92287895684996135
19,SAE_S_SVM,True,0.62798264642082424,0.57355126300148584,0.57546652030735457
19,SAE_S_SVM,False,0.6316698324987049,0.56704386916757088,0.57742129192759717
19,SAE_S_SVM_RBF,True,0.7440347071583514,0.6957403651115619,0.70581778265642148
19,SAE_S_SVM_RBF,False,0.7511656017958902,0.69168389251073303,0.71004546624345888
19,SAE_S_SVM_POLY,True,0.66540130151843813,0.66109913793103448,0.65806805708013172
19,SAE_S_SVM_POLY,False,0.66827836297703336,0.65928449744463369,0.6636355837694089
20,SVM,True,0.53535353535353536,0.52273972602739727,0.52766194050597726
20,SVM,False,0.60669456066945604,0.60469157254561257,0.60630810669910506
20,SVM_RBF,True,0.3058361391694725,0.91137123745819393,0.64136780650542113
20,SVM_RBF,False,1.0,1.0,1.0
20,SVM_POLY,True,0.55948372615039277,0.89577717879604668,0.7495134834584376
20,SVM_POLY,False,0.75575313807531386,0.98882299270072993,0.87401164306195156
20,Log,True,0.55162738496071828,0.53715846994535521,0.54239644147901034
20,Log,False,0.67956764295676431,0.6643940685188342,0.66921539664610308
20,DL,True,0.82940516273849607,0.84942528735632183,0.84264664998609951
20,DL,False,1.0,0.99982569287083833,0.99991311147797379
20,SAE_SVM,True,0.62065095398428727,0.62169758291174815,0.62496524881845983
20,SAE_SVM,False,0.63389121338912136,0.6309213951067153,0.63272221739508216
20,SAE_SVM_RBF,True,0.68406285072951745,0.73257211538461542,0.71976647206005007
20,SAE_SVM_RBF,False,0.70815899581589958,0.73935202038587555,0.73012425058649755
20,SAE_SVM_POLY,True,0.62008978675645343,0.67791411042944782,0.66583263830970252
20,SAE_SVM_POLY,False,0.65080195258019524,0.691680563275894,0.68137978972977664
20,DL_S,True,0.86588103254769921,0.83450513791238512,0.84848484848484851
20,DL_S,False,0.93636680613668066,0.90972222222222232,0.92197410722043616
20,SAE_S_SVM,True,0.60325476992143656,0.55326814204837882,0.5621351125938282
20,SAE_S_SVM,False,0.6260460251046025,0.56783681214421255,0.57615778955599961
20,SAE_S_SVM_RBF,True,0.75589225589225584,0.67586552935273458,0.69947178204058935
20,SAE_S_SVM_RBF,False,0.76813110181311017,0.69037919147602633,0.71274654618124944
20,SAE_S_SVM_POLY,True,0.66442199775533106,0.65486725663716816,0.660272449263275
20,SAE_S_SVM_POLY,False,0.67660390516039048,0.66115843270868824,0.66600052133113219
21,SVM,True,0.53208996160175537,0.52010723860589814,0.52188183807439825
21,SVM,False,0.6283427014137285,0.59452054794520548,0.59832421340629272
21,SVM_RBF,True,0.59188151398793198,0.82808902532617035,0.73522975929978118
21,SVM_RBF,False,1.0,1.0,1.0
21,SVM_POLY,True,0.72517827756445419,0.87260726072607253,0.81017505470459517
21,SVM_POLY,False,0.87617101004939535,0.98074356530028595,0.92920656634746923
21,Log,True,0.56006582556226003,0.55040431266846357,0.55251641137855578
21,Log,False,0.69630386646227216,0.65988700564971747,0.66740766073871405
21,DL,True,0.83708173340647285,0.8515625,0.84600656455142231
21,DL,False,1.0,0.9994892747701738,0.99974350205198359
21,SAE_SVM,True,0.65715852989577617,0.63621879978757301,0.64168490153172864
21,SAE_SVM,False,0.66343042071197411,0.64668769716088326,0.64911080711354308
21,SAE_SVM_RBF,True,0.73724629731212288,0.71948608137044967,0.72565645514223198
21,SAE_SVM_RBF,False,0.74825413047181055,0.73621585386291266,0.73905608755129959
21,SAE_SVM_POLY,True,0.72572682391662091,0.67191467750126965,0.68654266958424504
21,SAE_SVM_POLY,False,0.7358201328564129,0.68582314653119547,0.698187414500684
21,DL_S,True,0.86341195831047723,0.84623655913978491,0.8536652078774617
21,DL_S,False,0.93510475217169131,0.93303874915023788,0.93373803009575929
21,SAE_S_SVM,True,0.64399341744377403,0.5630695443645084,0.57330415754923414
21,SAE_S_SVM,False,0.66206779083631406,0.57773483947681337,0.58746580027359785
21,SAE_S_SVM_RBF,True,0.79594075699396594,0.69095238095238098,0.72073304157549234
21,SAE_S_SVM_RBF,False,0.79628683358882646,0.69807376437210689,0.72486320109439129
21,SAE_S_SVM_POLY,True,0.72408118486012063,0.65737051792828671,0.6742341356673961
21,SAE_S_SVM_POLY,False,0.7267927099301652,0.65991339313331276,0.67484610123119015
22,SVM,True,0.53713009491903962,0.54258319232938523,0.54381084840055638
