DDI,sequence_num,auc,sens,spec,blAUC,blSens,blSpec
PF00782.12_int_PF00782.12,1,0.944,0.833,0.833,0.0,0.0,0.0
PF00782.12_int_PF00782.12,2,0.911,0.769,1.0,0.0,0.0,0.0
PF00782.12_int_PF00782.12,3,0.455,0.0,0.0,0.0,0.0,0.0
PF00782.12_int_PF00782.12,4,0.828,0.312,1.0,0.0,0.0,0.0
PF00782.12_int_PF00782.12,7,0.821,0.571,1.0,0.0,0.0,0.0
PF00782.12_int_PF00782.12,11,0.975,0.909,0.938,0.0,0.0,0.0
PF00782.12_int_PF00782.12,13,0.667,0.6,1.0,0.0,0.0,0.0
PF00782.12_int_PF00782.12,18,1.0,0.636,1.0,0.0,0.0,0.0
PF00711.11_int_PF00711.11,0.3895
PF00563.12_int_PF00563.12,0.515
PF00254.20_int_PF00254.20,0.664666666667
PF00028.9_int_PF00028.9,0.725375
PF00051.10_int_PF00051.10,0.787625
PF00782.12_int_PF00782.12,0.825125
PF00017.16_int_PF00018.20,0.827555555556
PF00087.13_int_PF00087.13,0.8341
PF00074.12_int_PF07686.9,0.837333333333
PF00149.20_int_PF08321.4,0.8665
PF00393.11_int_PF00393.11,0.8848
PF00243.10_int_PF00243.10,0.895
PF00025.13_int_PF00025.13,0.899777777778
PF00385.16_int_PF00385.16,0.9015
PF00167.10_int_PF07679.8,0.92
PF00104.22_int_PF08832.2,0.941
PF00004.21_int_PF09336.2,0.941666666667
PF00127.12_int_PF06433.3,0.943
PF00033.11_int_PF02939.8,0.958333333333
PF00081.14_int_PF00081.14,0.965375
PF00511.9_int_PF00511.9,0.977833333333
PF00617.11_int_PF00618.12,0.9835
PF00033.11_int_PF00033.11,0.985166666667
PF00032.9_int_PF02939.8,0.993
PF00033.11_int_PF02271.8,0.994666666667
PF00712.11_int_PF02768.7,0.995
PF00034.13_int_PF00141.15,0.9955
PF00032.9_int_PF02271.8,0.997
PF00033.11_int_PF00355.18,0.997142857143
PF00034.13_int_PF02239.8,0.998
